category,type,name,label,betweenness_centrality
0,room,Room_02_Hall,Room_02_Hall,0.806818
0,room,Room_09_Bedroom_01,Room_09_Bedroom_01,0.45928
2,Aperture,Door_06,Door_06,0.435606
2,Aperture,Door_01,Door_01,0.378788
0,room,Room_013_Living,Room_013_Living,0.347538
0,room,Room_012_Balcony_02,Room_012_Balcony_02,0.178977
2,Aperture,Door_02,Door_02,0.117424
2,Aperture,Door_05,Door_05,0.117424
2,Aperture,Door_08,Door_08,0.117424
2,Aperture,Door_04,Door_04,0.117424
2,Aperture,Door_010,Door_010,0.068182
2,Aperture,Window_04,Window_04,0.068182
2,Aperture,Window_05,Window_05,0.068182
0,room,Room_011_Balcony_01,Room_011_Balcony_01,0.061553
2,Aperture,Door_03,Door_03,0.060606
2,Aperture,Door_011,Door_011,0.060606
2,Aperture,Door_07,Door_07,0.060606
0,room,Room_010_Bedroom_02,Room_010_Bedroom_02,0.060606
0,room,Room_03_Laundry,Room_03_Laundry,0.060606
0,room,Room_06_Batroom_01,Room_06_Batroom_01,0.060606
0,room,Room_08_Bathroom_02,Room_08_Bathroom_02,0.060606
2,Aperture,Door_09,Door_09,0.056818
2,Aperture,Window_07,Window_07,0.056818
4,Aperture,Window_01,Window_01,0.0
4,Aperture,Window_08,Window_08,0.0
4,Aperture,Window_011,Window_011,0.0
4,Aperture,Window_09,Window_09,0.0
4,Aperture,Window_010,Window_010,0.0
4,Aperture,Window_03,Window_03,0.0
0,room,Room_07_Closet_01,Room_07_Closet_01,0.0
0,room,Room_05_Cava,Room_05_Cava,0.0
0,room,Room_01_kitchen,Room_01_kitchen,0.0
4,Aperture,Window_02,Window_02,0.0
4,Aperture,Window_06,Window_06,0.0
