node_a,node_b,weight,type,name
Elevator_01_Tower_01,Door_058,2.080444,access,Elevator_01_Tower_01--Door_058
Elevator_02_Tower_01,Door_057,1.996947,access,Elevator_02_Tower_01--Door_057
Parking_28,Door_146,3.244794,access,Parking_28--Door_146
Parking_50,Door_127,2.565201,access,Parking_50--Door_127
Parking_42,Door_135,2.798484,access,Parking_42--Door_135
Parking_38,Door_138,2.798469,access,Parking_38--Door_138
Stair_02_Tower_01,Door_043,1.99433,access,Stair_02_Tower_01--Door_043
object_1,Door_017,1.280886,access,object_1--Door_017
Parking_34,Door_142,2.798469,access,Parking_34--Door_142
Parking_40,Door_136,2.798469,access,Parking_40--Door_136
Elevator_02_Tower_02,Door_040,1.33578,access,Elevator_02_Tower_02--Door_040
Parking_29,Door_055,2.848522,access,Parking_29--Door_055
02_Retail_space,Door_047,5.665207,access,02_Retail_space--Door_047
02_Retail_space,Door_017,2.503444,access,02_Retail_space--Door_017
02_Retail_space,Window_042,6.061636,access,02_Retail_space--Window_042
Parking_58,Door_119,2.798484,access,Parking_58--Door_119
Parking_57,Door_120,2.798484,access,Parking_57--Door_120
Stair_01_Tower_02,Door_045,1.962173,access,Stair_01_Tower_02--Door_045
recycling_room_02,Door_060,3.321009,access,recycling_room_02--Door_060
recycling_room_03,Door_059,3.24226,access,recycling_room_03--Door_059
Stair_01_Tower_01,Door_042,1.540926,access,Stair_01_Tower_01--Door_042
08_Gym,Door_036,6.779094,access,08_Gym--Door_036
08_Gym,Door_037,8.543516,access,08_Gym--Door_037
08_Gym,Door_038,10.339581,access,08_Gym--Door_038
08_Gym,Door_035,7.331792,access,08_Gym--Door_035
Circulation_002,Door_055,3.3335,access,Circulation_002--Door_055
Circulation_002,Door_054,2.239197,access,Circulation_002--Door_054
Circulation_002,Door_007,3.310608,access,Circulation_002--Door_007
Circulation_002,Door_006,3.341253,access,Circulation_002--Door_006
Parking_41,Door_056,3.244776,access,Parking_41--Door_056
Parking_31,Door_145,2.798469,access,Parking_31--Door_145
Circulation_011,Door_171,18.347746,access,Circulation_011--Door_171
Circulation_011,Door_068,3.491836,access,Circulation_011--Door_068
Circulation_011,Door_071,3.643639,access,Circulation_011--Door_071
Circulation_011,Door_063,13.357878,access,Circulation_011--Door_063
Circulation_011,Door_012,19.159999,access,Circulation_011--Door_012
Circulation_011,Door_074,10.565997,access,Circulation_011--Door_074
Circulation_011,Door_066,7.313145,access,Circulation_011--Door_066
Circulation_011,Door_070,2.80075,access,Circulation_011--Door_070
Circulation_011,Door_075,11.504436,access,Circulation_011--Door_075
Circulation_011,Door_009,16.216009,access,Circulation_011--Door_009
Circulation_011,Door_010,6.717259,access,Circulation_011--Door_010
Circulation_011,Door_067,5.351311,access,Circulation_011--Door_067
Circulation_011,Door_073,7.483951,access,Circulation_011--Door_073
Circulation_011,Door_064,11.330506,access,Circulation_011--Door_064
Circulation_011,Window_033,21.370722,access,Circulation_011--Window_033
Circulation_011,Door_061,16.405663,access,Circulation_011--Door_061
Circulation_011,Door_065,9.312915,access,Circulation_011--Door_065
Circulation_011,Door_011,5.08491,access,Circulation_011--Door_011
Circulation_011,Door_173,18.340023,access,Circulation_011--Door_173
Circulation_011,Door_062,15.391157,access,Circulation_011--Door_062
Circulation_011,Door_069,2.037589,access,Circulation_011--Door_069
Circulation_011,Door_076,14.098615,access,Circulation_011--Door_076
Circulation_011,Door_072,6.626305,access,Circulation_011--Door_072
Circulation_013,Door_134,11.901832,access,Circulation_013--Door_134
Circulation_013,Door_131,3.765088,access,Circulation_013--Door_131
Circulation_013,Door_130,1.974915,access,Circulation_013--Door_130
Circulation_013,Door_141,4.027727,access,Circulation_013--Door_141
Circulation_013,Door_133,9.113317,access,Circulation_013--Door_133
Circulation_013,Door_127,8.350116,access,Circulation_013--Door_127
Circulation_013,Door_143,9.224925,access,Circulation_013--Door_143
