node,type,degree,betweenness_centrality
Circulation_011,room,23,0.598224
Circulation_001,room,21,0.558094
Circulation_008,room,14,0.527372
Door_008,Aperture,2,0.469601
Door_010,Aperture,2,0.460232
Circulation_004,room,13,0.445408
Circulation_005,room,12,0.199641
Circulation_013,room,21,0.196028
Door_011,Aperture,2,0.189109
Door_001,Aperture,2,0.177951
Circulation_006,room,20,0.171889
Circulation_010,room,11,0.169222
Door_009,Aperture,2,0.16659
04_Common_Space,room,7,0.155608
Door_005,Aperture,2,0.143214
Circulation_002,room,4,0.140775
Door_050,Aperture,2,0.139217
Door_006,Aperture,2,0.132348
Door_012,Aperture,2,0.121076
Circulation_012,room,17,0.120442
Circulation_007,room,12,0.102874
Door_004,Aperture,2,0.097336
Door_051,Aperture,3,0.080936
Circulation_003,room,3,0.076324
Door_002,Aperture,2,0.074473
Door_055,Aperture,3,0.072929
Door_052,Aperture,2,0.071565
Door_003,Aperture,2,0.067979
Door_007,Aperture,2,0.06774
Door_053,Aperture,2,0.067696
BOILER ROOM,room,2,0.065975
Door_020,Aperture,2,0.064493
Door_038,Aperture,2,0.045663
Door_163,Aperture,2,0.041575
08_Gym,room,4,0.040892
Parking_93,room,5,0.038922
Door_173,Aperture,2,0.036766
Parking_12,room,2,0.036677
Parking7,room,3,0.032198
Door_162,Aperture,2,0.031847
Parking6,room,3,0.028267
01_Lobby,room,3,0.025664
Door_035,Aperture,2,0.025657
Door_171,Aperture,2,0.025003
Parking_85,room,5,0.023054
Window_019,Aperture,2,0.021753
Door_084,Aperture,2,0.021753
010_Circulaction,room,3,0.020641
Door_047,Aperture,2,0.020583
Window_001,Aperture,2,0.020583
Parking8,room,2,0.020148
Door_088,Aperture,2,0.019859
Parking_99,room,6,0.019804
Door_087,Aperture,2,0.019672
Door_086,Aperture,2,0.019586
Door_165,Aperture,2,0.019419
Door_167,Aperture,2,0.018525
Door_085,Aperture,2,0.018156
Door_089,Aperture,2,0.017591
Door_172,Aperture,2,0.017321
05_FAmily_Room,room,4,0.015524
02_Retail_space,room,3,0.015509
Door_170,Aperture,2,0.015468
Door_046,Aperture,2,0.015307
Window_032,Aperture,2,0.015307
Parking_89,room,2,0.014874
Parking_90,room,2,0.014712
Parking_91,room,2,0.01463
Parking_11,room,2,0.014553
Door_169,Aperture,2,0.014433
Parking10,room,2,0.013659
Parking_92,room,2,0.013221
Parking1,room,3,0.013174
Parking_66,room,4,0.012777
Parking_88,room,2,0.012549
Parking2,room,3,0.012438
Window_021,Aperture,2,0.011981
Door_078,Aperture,2,0.011981
Window_017,Aperture,2,0.010915
Window_018,Aperture,2,0.010915
Window_015,Aperture,2,0.010912
Door_093,Aperture,2,0.010912
Door_061,Aperture,2,0.010349
Window_011,Aperture,2,0.010228
Door_082,Aperture,2,0.009974
Door_081,Aperture,2,0.009868
Door_164,Aperture,2,0.009855
Door_080,Aperture,2,0.009835
Parking9,room,2,0.009578
Door_166,Aperture,2,0.009025
Door_079,Aperture,2,0.008433
Door_083,Aperture,2,0.007564
Window_013,Aperture,2,0.007027
Door_092,Aperture,2,0.007027
Parking5,room,3,0.006592
Parking4,room,3,0.005948
Parking_97,room,3,0.005913
Parking_96,room,3,0.005776
Window_005,Aperture,2,0.005669
03_service kitchenette,room,4,0.005657
Door_016,Aperture,3,0.005625
Door_015,Aperture,3,0.005625
Parking3,room,3,0.005623
Parking_95,room,3,0.005557
Parking_77,room,4,0.005211
recycling_room_01,room,2,0.005189
