aperture,type,connected_room_count,connected_rooms,tolerance_used
Door_173,Aperture,2,Circulation_011 | Parking7,0.08
Door_172,Aperture,2,Parking1 | Parking7,0.08
Door_171,Aperture,2,Circulation_011 | Parking8,0.08
Door_170,Aperture,2,Parking2 | Parking8,0.08
Door_169,Aperture,2,Circulation_010 | Parking9,0.08
Door_168,Aperture,2,Parking3 | Parking9,0.08
Door_167,Aperture,2,Circulation_010 | Parking10,0.08
Door_166,Aperture,2,Parking10 | Parking4,0.08
Door_165,Aperture,2,Circulation_010 | Parking_11,0.08
Door_164,Aperture,2,Parking5 | Parking_11,0.08
Door_163,Aperture,2,Circulation_010 | Parking_12,0.08
Door_162,Aperture,2,Parking6 | Parking_12,0.08
Door_161,Aperture,2,Circulation_010 | Parking_13,0.08
Door_160,Aperture,2,Circulation_010 | Parking_14,0.08
Door_159,Aperture,2,Circulation_010 | Parking_15,0.08
Door_158,Aperture,2,Circulation_010 | Parking_16,0.08
Door_157,Aperture,2,Circulation_010 | Parking_17,0.08
Door_156,Aperture,2,Circulation_008 | Parking_18,0.08
Door_155,Aperture,2,Circulation_008 | Parking_19,0.08
Door_154,Aperture,2,Circulation_008 | Parking_20,0.08
Door_153,Aperture,2,Circulation_008 | Parking_21,0.08
Door_152,Aperture,2,Circulation_008 | Parking_22,0.08
Door_151,Aperture,2,Circulation_008 | Parking_23,0.08
Door_150,Aperture,2,Circulation_008 | Parking_24,0.08
Door_149,Aperture,2,Circulation_008 | Parking_25,0.08
Door_148,Aperture,2,Circulation_008 | Parking_26,0.08
Door_147,Aperture,2,Circulation_008 | Parking_27,0.08
Door_146,Aperture,2,Circulation_008 | Parking_28,0.08
Door_145,Aperture,2,Circulation_013 | Parking_31,0.08
Door_144,Aperture,2,Circulation_013 | Parking_32,0.08
Door_143,Aperture,2,Circulation_013 | Parking_33,0.08
Door_142,Aperture,2,Circulation_013 | Parking_34,0.08
Door_141,Aperture,2,Circulation_013 | Parking_35,0.08
Door_140,Aperture,2,Circulation_013 | Parking_36,0.08
Door_139,Aperture,2,Circulation_013 | Parking_37,0.08
Door_138,Aperture,2,Circulation_013 | Parking_38,0.08
Door_137,Aperture,2,Circulation_013 | Parking_39,0.08
Door_136,Aperture,2,Circulation_013 | Parking_40,0.08
Door_135,Aperture,2,Circulation_013 | Parking_42,0.08
Door_134,Aperture,2,Circulation_013 | Parking_43,0.08
Door_133,Aperture,2,Circulation_013 | Parking_44,0.08
Door_132,Aperture,2,Circulation_013 | Parking_45,0.08
Door_131,Aperture,2,Circulation_013 | Parking_46,0.08
Door_130,Aperture,2,Circulation_013 | Parking_47,0.08
Door_129,Aperture,2,Circulation_013 | Parking_48,0.08
Door_128,Aperture,2,Circulation_013 | Parking_49,0.08
Door_127,Aperture,2,Circulation_013 | Parking_50,0.08
Door_126,Aperture,2,Circulation_012 | Parking_51,0.08
Door_125,Aperture,2,Circulation_012 | Parking_52,0.08
Door_124,Aperture,2,Circulation_012 | Parking_53,0.08
Door_123,Aperture,2,Circulation_012 | Parking_54,0.08
Door_122,Aperture,2,Circulation_012 | Parking_55,0.08
Door_121,Aperture,2,Circulation_012 | Parking_56,0.08
Door_120,Aperture,2,Circulation_012 | Parking_57,0.08
Door_119,Aperture,2,Circulation_012 | Parking_58,0.08
Door_118,Aperture,3,Circulation_003 | Parking_67 | Unnamed room,0.08
Door_117,Aperture,3,Circulation_004 | Parking_100 | Unnamed room,0.08
Door_116,Aperture,3,Circulation_004 | Parking_101 | Unnamed room,0.08
Door_115,Aperture,3,Circulation_007 | Parking_70 | Unnamed room,0.08
Door_114,Aperture,3,Circulation_007 | Parking_72 | Unnamed room,0.08
Door_113,Aperture,3,Circulation_007 | Parking_71 | Unnamed room,0.08
Door_112,Aperture,3,Circulation_007 | Parking_73 | Unnamed room,0.08
Door_111,Aperture,3,Circulation_007 | Parking_74 | Unnamed room,0.08
Door_110,Aperture,3,Circulation_007 | Parking_75 | Unnamed room,0.08
Door_109,Aperture,3,Circulation_007 | Parking_76 | Unnamed room,0.08
Door_108,Aperture,3,Circulation_007 | Parking_77 | Unnamed room,0.08
Door_107,Aperture,2,Circulation_006 | Parking_59,0.08
Door_106,Aperture,2,Circulation_006 | Parking_60,0.08
Door_105,Aperture,2,Circulation_006 | Parking_61,0.08
Door_104,Aperture,2,Circulation_006 | Parking_62,0.08
Door_103,Aperture,2,Circulation_006 | Parking_63,0.08
Door_102,Aperture,2,Circulation_006 | Parking_64,0.08
Door_101,Aperture,2,Circulation_006 | Parking_65,0.08
Door_100,Aperture,2,Circulation_006 | Parking_78,0.08
Door_099,Aperture,2,Circulation_006 | Parking_79,0.08
Door_098,Aperture,2,Circulation_006 | Parking_80,0.08
Door_097,Aperture,2,Circulation_006 | Parking_81,0.08
Door_096,Aperture,2,Circulation_006 | Parking_82,0.08
Door_095,Aperture,2,Circulation_006 | Parking_83,0.08
Door_094,Aperture,2,Circulation_006 | Parking_84,0.08
Door_093,Aperture,2,Circulation_006 | Parking_85,0.08
Door_092,Aperture,2,Circulation_006 | Parking_66,0.08
Door_091,Aperture,2,Circulation_005 | Parking_86,0.08
Door_090,Aperture,2,Circulation_005 | Parking_87,0.08
Door_089,Aperture,2,Circulation_005 | Parking_88,0.08
Door_088,Aperture,2,Circulation_005 | Parking_89,0.08
Door_087,Aperture,2,Circulation_005 | Parking_90,0.08
Door_086,Aperture,2,Circulation_005 | Parking_91,0.08
Door_085,Aperture,2,Circulation_005 | Parking_92,0.08
Door_084,Aperture,2,Circulation_005 | Parking_93,0.08
Door_083,Aperture,2,Parking_88 | Parking_94,0.08
