node,type,degree,betweenness_centrality,interpretation
Circulation_011,room,23,0.598224,critical connector / route dependency
Circulation_001,room,21,0.558094,critical connector / route dependency
Circulation_008,room,14,0.527372,critical connector / route dependency
Door_008,Aperture,2,0.469601,critical connector / route dependency
Door_010,Aperture,2,0.460232,critical connector / route dependency
Circulation_004,room,13,0.445408,critical connector / route dependency
Circulation_005,room,12,0.199641,critical connector / route dependency
Circulation_013,room,21,0.196028,critical connector / route dependency
Door_011,Aperture,2,0.189109,critical connector / route dependency
Door_001,Aperture,2,0.177951,critical connector / route dependency
Circulation_006,room,20,0.171889,critical connector / route dependency
Circulation_010,room,11,0.169222,critical connector / route dependency
Door_009,Aperture,2,0.16659,critical connector / route dependency
04_Common_Space,room,7,0.155608,critical connector / route dependency
Door_005,Aperture,2,0.143214,critical connector / route dependency
Circulation_002,room,4,0.140775,critical connector / route dependency
Door_050,Aperture,2,0.139217,critical connector / route dependency
Door_006,Aperture,2,0.132348,critical connector / route dependency
Door_012,Aperture,2,0.121076,critical connector / route dependency
Circulation_012,room,17,0.120442,critical connector / route dependency
Circulation_007,room,12,0.102874,critical connector / route dependency
Door_004,Aperture,2,0.097336,critical connector / route dependency
Door_051,Aperture,3,0.080936,critical connector / route dependency
Circulation_003,room,3,0.076324,critical connector / route dependency
Door_002,Aperture,2,0.074473,critical connector / route dependency
