bridge_id,node_a,node_b
B001,Circulation_006,Door_104
B002,011_BAthroom_community_hall_02,Door_027
B003,Circulation_001,Door_038
B004,recycling_room_02,Door_060
B005,Circulation_012,Window_036
B006,Parking_33,Door_143
B007,Parking_78,Door_100
B008,Parking_17,Door_157
B009,Circulation_008,Door_146
B010,Circulation_008,Door_150
B011,Parking_50,Door_127
B012,Elevator_01_Tower_02,Door_041
B013,Circulation_011,Door_066
B014,Circulation_001,Door_041
B015,Circulation_012,Window_040
B016,Parking_23,Door_151
B017,Parking_81,Door_097
B018,Circulation_001,Door_044
B019,011_community_hall,Door_030
B020,Parking_84,Door_094
B021,Storage_room_016,Door_064
B022,Circulation_013,Door_132
B023,Parking_15,Door_159
B024,Parking_100,Door_117
B025,Circulation_008,Door_147
B026,011_community_hall,Window_007
B027,Parking_72,Door_114
B028,Storage_room_003,Door_076
B029,Parking6,Window_001
B030,Circulation_001,Door_013
B031,Parking_61,Door_105
B032,Circulation_012,Window_034
B033,object_1,Door_017
B034,Parking_56,Door_121
B035,recycling_room_01,Door_061
B036,Parking_40,Door_136
B037,Circulation_013,Door_060
B038,Parking_16,Door_158
B039,Circulation_006,Door_105
B040,Circulation_004,Door_014
B041,08_Bathroom_Gym,Door_033
B042,Parking_57,Door_120
B043,Storage_room_018,Door_062
B044,Circulation_008,Door_152
B045,Circulation_011,Door_075
B046,Parking_85,Window_016
B047,Circulation_006,Door_095
B048,Parking_71,Door_113
B049,Circulation_008,Door_010
B050,Parking_39,Door_137
B051,08_Gym,Door_038
B052,Circulation_011,Door_074
B053,Circulation_008,Door_149
B054,Circulation_013,Door_135
B055,Circulation_010,Door_157
B056,Circulation_006,Door_098
B057,Circulation_005,Door_090
B058,011_community_hall,Door_027
B059,Parking_58,Door_119
B060,Circulation_001,Door_039
B061,Circulation_012,Window_039
B062,Circulation_012,Window_038
B063,Parking_18,Door_156
B064,Parking_46,Door_131
B065,Circulation_006,Door_096
B066,Circulation_013,Door_138
B067,Circulation_012,Door_012
B068,Circulation_013,Door_137
B069,Parking_25,Door_149
B070,Circulation_011,Door_012
B071,Parking_54,Door_123
B072,Circulation_013,Door_142
B073,Circulation_010,Door_158
B074,Circulation_010,Door_159
B075,Circulation_007,Door_111
B076,Circulation_012,Door_126
B077,Circulation_001,Door_045
B078,Circulation_004,Door_021
B079,Parking_24,Door_150
B080,Circulation_012,Door_119
B081,Circulation_008,Door_154
B082,Parking_44,Door_133
B083,Elevator_01_Tower_01,Door_058
B084,Parking_49,Door_128
