node,type
02_Retail_space,room
08_Gym,room
Circulation_002,room
Circulation_011,room
Circulation_013,room
Circulation_001,room
Circulation_008,room
04_Common_Space,room
Circulation_003,room
01_Lobby,room
recycling_room_01,room
Parking1,room
010_Circulaction,room
Circulation_004,room
Circulation_012,room
Parking7,room
Circulation_010,room
Parking_99,room
Parking6,room
Circulation_005,room
Circulation_006,room
Circulation_007,room
Parking_77,room
Parking_93,room
011_community_hall,room
Parking_85,room
Parking_66,room
05_FAmily_Room,room
Door_161,Aperture
Door_159,Aperture
Door_160,Aperture
Door_146,Aperture
Door_154,Aperture
Door_155,Aperture
Door_156,Aperture
Door_151,Aperture
Door_148,Aperture
Door_152,Aperture
Door_157,Aperture
Door_150,Aperture
Door_149,Aperture
Door_158,Aperture
Door_147,Aperture
Door_153,Aperture
Door_139,Aperture
Door_144,Aperture
Door_142,Aperture
Door_145,Aperture
Door_141,Aperture
Door_137,Aperture
Door_136,Aperture
Door_138,Aperture
Door_135,Aperture
Door_140,Aperture
Door_134,Aperture
Door_133,Aperture
Door_143,Aperture
Door_125,Aperture
Door_130,Aperture
Door_126,Aperture
Door_122,Aperture
Door_121,Aperture
Door_124,Aperture
Door_131,Aperture
Door_129,Aperture
Door_132,Aperture
Door_127,Aperture
Door_128,Aperture
Door_123,Aperture
Door_119,Aperture
Door_118,Aperture
Door_120,Aperture
Door_114,Aperture
Door_112,Aperture
Door_117,Aperture
Door_109,Aperture
Door_116,Aperture
Door_111,Aperture
Door_115,Aperture
Door_110,Aperture
Door_113,Aperture
Door_104,Aperture
Door_106,Aperture
Door_103,Aperture
Door_101,Aperture
Door_098,Aperture
Door_096,Aperture
Door_100,Aperture
Door_102,Aperture
Door_095,Aperture
Door_099,Aperture
Door_105,Aperture
Door_107,Aperture
Door_097,Aperture
Door_090,Aperture
Door_091,Aperture
Door_094,Aperture
Door_071,Aperture
Door_070,Aperture
Door_072,Aperture
Door_069,Aperture
Door_077,Aperture
Door_076,Aperture
Door_074,Aperture
Door_075,Aperture
Door_073,Aperture
Door_062,Aperture
Door_068,Aperture
Door_066,Aperture
Door_061,Aperture
Door_059,Aperture
Door_064,Aperture
Door_065,Aperture
Door_067,Aperture
Door_063,Aperture
Door_060,Aperture
Door_058,Aperture
Door_057,Aperture
Door_047,Aperture
Door_044,Aperture
Door_056,Aperture
Door_054,Aperture
Door_045,Aperture
Door_055,Aperture
Door_041,Aperture
Door_034,Aperture
Door_040,Aperture
Door_042,Aperture
Door_038,Aperture
Door_033,Aperture
Door_039,Aperture
Door_043,Aperture
Door_035,Aperture
Door_027,Aperture
Door_016,Aperture
Door_021,Aperture
Door_015,Aperture
Door_022,Aperture
Door_017,Aperture
Door_028,Aperture
Door_011,Aperture
Door_012,Aperture
Door_008,Aperture
Door_010,Aperture
Window_001,Aperture
