id,name,area,width,height,center_x,center_y,center_z,connected_room_count,connected_rooms
D001,Door_01,1.946,2.224,0.875,8.711,14.081,1.112,2,Room_02_Hall | Room_013_Living
D002,Door_011,3.411,2.231,1.529,8.274,11.567,1.115,2,Room_02_Hall | Room_01_kitchen
D003,Door_09,2.372,2.4,0.989,14.278,16.418,1.2,2,Room_09_Bedroom_01 | Room_011_Balcony_01
D004,Door_010,4.882,2.4,2.034,8.5,17.399,1.2,2,Room_013_Living | Room_012_Balcony_02
D005,Door_08,2.057,2.328,0.883,15.427,13.127,1.164,2,Room_09_Bedroom_01 | Room_08_Bathroom_02
D006,Door_07,2.051,2.4,0.855,13.92,13.127,1.2,2,Room_09_Bedroom_01 | Room_07_Closet_01
D007,Door_04,1.654,2.134,0.775,11.285,13.127,1.067,2,Room_02_Hall | Room_06_Batroom_01
D008,Door_06,2.01,2.249,0.894,12.83,13.634,1.124,2,Room_02_Hall | Room_09_Bedroom_01
D009,Door_05,1.488,2.4,0.62,11.433,14.081,1.2,2,Room_02_Hall | Room_010_Bedroom_02
D010,Door_02,1.695,2.231,0.76,9.277,11.361,1.115,2,Room_03_Laundry | Room_02_Hall
D011,Door_03,1.097,2.326,0.472,9.277,12.841,1.163,2,Room_05_Cava | Room_02_Hall
