node_a,node_b,weight,type,name
Circulation_001,Elevator_01_Tower_01,21.686988,room_adjacency,Door_058
Circulation_001,Elevator_02_Tower_01,18.967162,room_adjacency,Door_057
Circulation_008,Parking_28,15.738875,room_adjacency,Door_146
Circulation_013,Parking_50,10.004092,room_adjacency,Door_127
Circulation_013,Parking_42,14.518528,room_adjacency,Door_135
Circulation_013,Parking_38,7.770953,room_adjacency,Door_138
Circulation_001,Stair_02_Tower_01,10.899991,room_adjacency,Door_043
02_Retail_space,object_1,3.622232,room_adjacency,Door_017
Circulation_013,Parking_34,7.234187,room_adjacency,Door_142
Circulation_013,Parking_40,12.691168,room_adjacency,Door_136
Circulation_001,Elevator_02_Tower_02,21.821159,room_adjacency,Door_040
Circulation_001,Parking_29,5.670384,room_adjacency,Door_055
Circulation_002,Parking_29,4.902021,room_adjacency,Door_055
01_Lobby,02_Retail_space,4.414847,room_adjacency,Door_047
Circulation_012,Parking_58,10.53787,room_adjacency,Door_119
Circulation_012,Parking_57,7.919675,room_adjacency,Door_120
Circulation_001,Stair_01_Tower_02,14.401678,room_adjacency,Door_045
Circulation_013,recycling_room_02,13.832243,room_adjacency,Door_060
Circulation_010,recycling_room_03,15.104335,room_adjacency,Door_059
Circulation_001,Stair_01_Tower_01,14.341349,room_adjacency,Door_042
010_Circulaction,08_Gym,8.880342,room_adjacency,Door_035
08_Gym,Circulation_001,21.898395,room_adjacency,Door_038
Circulation_002,Parking_30,4.886402,room_adjacency,Door_054
Circulation_002,Circulation_004,6.802504,room_adjacency,Door_006
Circulation_001,Circulation_002,4.745921,room_adjacency,Door_055 + Door_007
Circulation_008,Parking_41,15.738868,room_adjacency,Door_056
Circulation_013,Parking_31,14.6776,room_adjacency,Door_145
Circulation_011,Storage_room_017,12.96265,room_adjacency,Door_063
Circulation_011,Storage_room_018,14.976042,room_adjacency,Door_062
Circulation_011,recycling_room_01,19.298224,room_adjacency,Door_061
Circulation_010,Circulation_011,23.35991,room_adjacency,Door_009
Circulation_011,Storage_room_006,10.188878,room_adjacency,Door_074
Circulation_011,Circulation_013,18.914637,room_adjacency,Door_011
Circulation_011,Storage_room_011,2.639867,room_adjacency,Door_069
Circulation_011,Storage_room_008,6.314165,room_adjacency,Door_072
Circulation_011,Storage_room_013,5.200681,room_adjacency,Door_067
Circulation_011,Storage_room_012,3.578666,room_adjacency,Door_068
Circulation_011,Storage_room_015,8.985214,room_adjacency,Door_065
Circulation_011,Storage_room_007,8.224344,room_adjacency,Door_073
Circulation_011,Storage_room_003,15.813476,room_adjacency,Door_076
Circulation_011,Storage_room_005,12.1815,room_adjacency,Door_075
Circulation_011,Parking8,20.451585,room_adjacency,Door_171
Circulation_011,Storage_room_010,3.087592,room_adjacency,Door_070
Circulation_011,Circulation_012,22.516725,room_adjacency,Door_012
Circulation_008,Circulation_011,19.824274,room_adjacency,Door_010
Circulation_011,Storage_room_009,4.527672,room_adjacency,Door_071
Circulation_011,Storage_room_016,10.962712,room_adjacency,Door_064
Circulation_011,Storage_room_014,7.049083,room_adjacency,Door_066
Circulation_011,Parking7,20.810162,room_adjacency,Door_173
Circulation_013,Parking_46,5.053712,room_adjacency,Door_131
Circulation_013,Parking_45,6.905735,room_adjacency,Door_132
Circulation_013,Parking_47,4.415804,room_adjacency,Door_130
Circulation_013,Parking_32,12.039821,room_adjacency,Door_144
Circulation_013,Parking_37,5.849052,room_adjacency,Door_139
Circulation_013,Parking_44,9.270752,room_adjacency,Door_133
Circulation_013,Parking_43,11.845379,room_adjacency,Door_134
Circulation_013,Parking_48,5.437566,room_adjacency,Door_129
Circulation_013,Parking_35,5.494023,room_adjacency,Door_141
Circulation_013,Parking_39,10.132743,room_adjacency,Door_137
Circulation_013,Parking_49,7.466152,room_adjacency,Door_128
Circulation_013,Parking_36,4.913615,room_adjacency,Door_140
Circulation_013,Parking_33,9.517937,room_adjacency,Door_143
Circulation_004,POWER PLANT,6.754002,room_adjacency,Door_021
Circulation_001,Stair_02_Tower_02,11.015027,room_adjacency,Door_044
BOILER ROOM,Circulation_001,10.226207,room_adjacency,Door_053
07_service_area,Circulation_001,14.73917,room_adjacency,Door_039
Circulation_001,Circulation_003,11.144471,room_adjacency,Door_002
01_Lobby,Circulation_001,24.463869,room_adjacency,Door_046
Circulation_001,Circulation_008,16.542453,room_adjacency,Door_008
04_Common_Space,Circulation_001,17.821332,room_adjacency,Door_052 + Door_051
03_service kitchenette,Circulation_001,19.621159,room_adjacency,Door_051
Circulation_001,Elevator_01_Tower_02,18.414583,room_adjacency,Door_041
Circulation_008,Parking_20,9.993415,room_adjacency,Door_154
Circulation_008,Parking_25,7.598203,room_adjacency,Door_149
Circulation_008,Parking_27,12.395074,room_adjacency,Door_147
Circulation_008,Parking_23,5.124596,room_adjacency,Door_151
Circulation_008,Parking_24,5.826049,room_adjacency,Door_150
Circulation_008,Parking_26,9.880841,room_adjacency,Door_148
Circulation_008,Parking_22,5.889704,room_adjacency,Door_152
Circulation_008,Parking_18,15.148665,room_adjacency,Door_156
Circulation_008,Parking_19,12.514829,room_adjacency,Door_155
Circulation_008,Parking_21,7.695728,room_adjacency,Door_153
04_Common_Space,object_3,1.807416,room_adjacency,Door_015
04_Common_Space,Circulation_004,16.136427,room_adjacency,Door_050
04_Common_Space,object_2,0.649486,room_adjacency,Door_016
03_service kitchenette,04_Common_Space,2.601613,room_adjacency,Door_051 + Door_016 + Door_015
BOILER ROOM,Circulation_004,9.141805,room_adjacency,Door_020
Circulation_003,Circulation_004,13.621345,room_adjacency,Door_003
Circulation_003,Parking_67,4.621826,room_adjacency,Door_118
03_service kitchenette,object_3,0.942914,room_adjacency,Door_015
03_service kitchenette,object_2,2.197947,room_adjacency,Door_016
Circulation_010,Parking_11,7.811327,room_adjacency,Door_165
Parking5,Parking_11,5.045334,room_adjacency,Door_164
Circulation_010,Parking_12,5.784799,room_adjacency,Door_163
Parking6,Parking_12,5.045334,room_adjacency,Door_162
Circulation_010,Parking_13,4.735995,room_adjacency,Door_161
Circulation_010,Parking_14,5.247712,room_adjacency,Door_160
Circulation_010,Parking_15,6.912535,room_adjacency,Door_159
Circulation_010,Parking_16,9.030887,room_adjacency,Door_158
Parking1,Storage_room_002,2.171746,room_adjacency,Door_022
Parking1,Parking7,4.702164,room_adjacency,Door_172
Circulation_012,Parking_56,5.523068,room_adjacency,Door_121
Circulation_012,Parking_53,5.523067,room_adjacency,Door_124
Circulation_012,Parking_52,7.919676,room_adjacency,Door_125
Circulation_012,Parking_55,3.794177,room_adjacency,Door_122
Circulation_004,Parking_101,16.80544,room_adjacency,Door_116
Circulation_007,Parking_70,12.096468,room_adjacency,Door_115
010_Circulaction,08_Bathroom_Gym,1.555022,room_adjacency,Door_033
010_Circulaction,09_Storage_public,2.126128,room_adjacency,Door_034
Circulation_004,Parking_100,16.407202,room_adjacency,Door_117
Circulation_007,Parking_71,9.485225,room_adjacency,Door_113
Circulation_004,Circulation_005,15.867076,room_adjacency,Door_001
Circulation_004,ELECTRICAL_SUBSTATION,18.365054,room_adjacency,Door_019 + Door_018
Circulation_004,Circulation_006,13.959664,room_adjacency,Door_005
Circulation_004,Circulation_007,19.221872,room_adjacency,Door_004
Circulation_012,Parking_51,10.537871,room_adjacency,Door_126
Circulation_012,Parking_54,3.794177,room_adjacency,Door_123
Parking2,Parking8,5.553103,room_adjacency,Door_170
Parking7,Storage_room_004,1.941566,room_adjacency,Door_077
Circulation_010,Parking9,12.803987,room_adjacency,Door_169
Parking3,Parking9,5.045334,room_adjacency,Door_168
Circulation_010,Parking10,10.237979,room_adjacency,Door_167
Parking10,Parking4,5.045334,room_adjacency,Door_166
Circulation_010,Parking_17,11.650943,room_adjacency,Door_157
Circulation_006,Parking_83,6.661762,room_adjacency,Door_095
Parking_93,Parking_99,5.203003,room_adjacency,Door_078
Circulation_005,Parking_88,6.363572,room_adjacency,Door_089
Parking_88,Parking_94,5.203003,room_adjacency,Door_083
Parking_90,Parking_96,5.203003,room_adjacency,Door_081
Circulation_007,Parking_73,5.7294,room_adjacency,Door_112
Circulation_006,Parking_65,8.751925,room_adjacency,Door_101
Circulation_006,Parking_60,8.751926,room_adjacency,Door_106
Circulation_005,Parking_91,6.363571,room_adjacency,Door_086
