name,label,degree_centrality,closeness_centrality
Room_02_Hall,Room_02_Hall,0.636364,1.0
Room_09_Bedroom_01,Room_09_Bedroom_01,0.454545,0.721925
Room_010_Bedroom_02,Room_010_Bedroom_02,0.454545,0.721925
Room_06_Batroom_01,Room_06_Batroom_01,0.363636,0.409091
Room_013_Living,Room_013_Living,0.272727,0.324675
Room_05_Cava,Room_05_Cava,0.272727,0.247934
Room_03_Laundry,Room_03_Laundry,0.272727,0.247934
Room_07_Closet_01,Room_07_Closet_01,0.272727,0.247934
Room_011_Balcony_01,Room_011_Balcony_01,0.181818,0.113636
Room_01_kitchen,Room_01_kitchen,0.090909,0.054545
Room_08_Bathroom_02,Room_08_Bathroom_02,0.181818,0.054545
Room_012_Balcony_02,Room_012_Balcony_02,0.181818,0.0
