room,degree,degree_centrality,closeness_centrality,community
Circulation_011,22,0.125,0.964567,7
Circulation_013,21,0.119318,0.790323,3
Circulation_001,18,0.102273,0.983936,1
Circulation_006,17,0.096591,0.676796,14
Circulation_008,14,0.079545,1.0,2
Circulation_004,11,0.0625,0.811258,1
Circulation_010,11,0.0625,0.775316,5
Circulation_012,9,0.051136,0.76087,4
Circulation_005,9,0.051136,0.673077,15
Circulation_007,9,0.051136,0.662162,8
04_Common_Space,5,0.028409,0.886076,1
Circulation_002,4,0.022727,0.882883,1
03_service kitchenette,4,0.022727,0.81803,1
Circulation_003,3,0.017045,0.881295,1
Parking7,3,0.017045,0.749235,7
010_Circulaction,3,0.017045,0.618687,6
BOILER ROOM,2,0.011364,0.878136,1
Parking_29,2,0.011364,0.813953,1
08_Gym,2,0.011364,0.76087,6
01_Lobby,2,0.011364,0.758514,1
Parking8,2,0.011364,0.744681,7
object_2,2,0.011364,0.696023,1
object_3,2,0.011364,0.696023,1
Parking_11,2,0.011364,0.626598,5
Parking_12,2,0.011364,0.626598,5
Parking9,2,0.011364,0.626598,5
Parking10,2,0.011364,0.626598,5
02_Retail_space,2,0.011364,0.615578,1
Parking1,2,0.011364,0.609453,7
Parking_88,2,0.011364,0.558087,15
Parking_91,2,0.011364,0.558087,15
Parking_93,2,0.011364,0.558087,15
Parking_92,2,0.011364,0.558087,15
Parking_89,2,0.011364,0.558087,15
Parking_90,2,0.011364,0.558087,15
011_community_hall,2,0.011364,0.041864,24
Parking_28,1,0.005682,0.76324,2
Parking_41,1,0.005682,0.76324,2
Parking_24,1,0.005682,0.76324,2
Parking_26,1,0.005682,0.76324,2
Parking_20,1,0.005682,0.76324,2
Parking_27,1,0.005682,0.76324,2
Parking_23,1,0.005682,0.76324,2
Parking_19,1,0.005682,0.76324,2
Parking_21,1,0.005682,0.76324,2
Parking_25,1,0.005682,0.76324,2
Parking_22,1,0.005682,0.76324,2
Parking_18,1,0.005682,0.76324,2
Elevator_01_Tower_01,1,0.005682,0.753846,1
Elevator_02_Tower_01,1,0.005682,0.753846,1
Stair_02_Tower_01,1,0.005682,0.753846,1
Elevator_02_Tower_02,1,0.005682,0.753846,1
Stair_01_Tower_02,1,0.005682,0.753846,1
Stair_01_Tower_01,1,0.005682,0.753846,1
Stair_02_Tower_02,1,0.005682,0.753846,1
Elevator_01_Tower_02,1,0.005682,0.753846,1
07_service_area,1,0.005682,0.753846,1
recycling_room_01,1,0.005682,0.742424,7
Storage_room_008,1,0.005682,0.742424,7
Storage_room_006,1,0.005682,0.742424,7
Storage_room_009,1,0.005682,0.742424,7
Storage_room_011,1,0.005682,0.742424,7
Storage_room_013,1,0.005682,0.742424,7
Storage_room_015,1,0.005682,0.742424,7
Storage_room_012,1,0.005682,0.742424,7
Storage_room_005,1,0.005682,0.742424,7
Storage_room_010,1,0.005682,0.742424,7
Storage_room_017,1,0.005682,0.742424,7
Storage_room_016,1,0.005682,0.742424,7
Storage_room_018,1,0.005682,0.742424,7
Storage_room_007,1,0.005682,0.742424,7
Storage_room_014,1,0.005682,0.742424,7
Storage_room_003,1,0.005682,0.742424,7
Parking_30,1,0.005682,0.693069,1
Parking_67,1,0.005682,0.69209,1
POWER PLANT,1,0.005682,0.648148,1
Parking_101,1,0.005682,0.648148,1
Parking_100,1,0.005682,0.648148,1
ELECTRICAL_SUBSTATION,1,0.005682,0.648148,1
Parking_50,1,0.005682,0.634715,3
Parking_42,1,0.005682,0.634715,3
Parking_38,1,0.005682,0.634715,3
Parking_34,1,0.005682,0.634715,3
Parking_40,1,0.005682,0.634715,3
recycling_room_02,1,0.005682,0.634715,3
Parking_31,1,0.005682,0.634715,3
Parking_47,1,0.005682,0.634715,3
Parking_44,1,0.005682,0.634715,3
Parking_43,1,0.005682,0.634715,3
Parking_32,1,0.005682,0.634715,3
Parking_35,1,0.005682,0.634715,3
Parking_49,1,0.005682,0.634715,3
Parking_36,1,0.005682,0.634715,3
Parking_33,1,0.005682,0.634715,3
Parking_48,1,0.005682,0.634715,3
Parking_46,1,0.005682,0.634715,3
Parking_45,1,0.005682,0.634715,3
Parking_37,1,0.005682,0.634715,3
Parking_39,1,0.005682,0.634715,3
recycling_room_03,1,0.005682,0.625,5
Parking_13,1,0.005682,0.625,5
Parking_14,1,0.005682,0.625,5
Parking_15,1,0.005682,0.625,5
Parking_16,1,0.005682,0.625,5
Parking_17,1,0.005682,0.625,5
Parking_58,1,0.005682,0.615578,4
Parking_57,1,0.005682,0.615578,4
Parking_56,1,0.005682,0.615578,4
Parking_53,1,0.005682,0.615578,4
Parking_52,1,0.005682,0.615578,4
Parking_55,1,0.005682,0.615578,4
Parking_51,1,0.005682,0.615578,4
Parking_54,1,0.005682,0.615578,4
Storage_room_004,1,0.005682,0.60794,7
Parking2,1,0.005682,0.604938,7
Parking_83,1,0.005682,0.559361,14
Parking_65,1,0.005682,0.559361,14
Parking_60,1,0.005682,0.559361,14
Parking_82,1,0.005682,0.559361,14
Parking_81,1,0.005682,0.559361,14
Parking_78,1,0.005682,0.559361,14
Parking_59,1,0.005682,0.559361,14
Parking_79,1,0.005682,0.559361,14
Parking_85,1,0.005682,0.559361,14
Parking_80,1,0.005682,0.559361,14
Parking_84,1,0.005682,0.559361,14
Parking_66,1,0.005682,0.559361,14
Parking_64,1,0.005682,0.559361,14
Parking_61,1,0.005682,0.559361,14
Parking_63,1,0.005682,0.559361,14
Parking_62,1,0.005682,0.559361,14
Parking_86,1,0.005682,0.556818,15
Parking_87,1,0.005682,0.556818,15
Parking_70,1,0.005682,0.549327,8
Parking_71,1,0.005682,0.549327,8
Parking_73,1,0.005682,0.549327,8
Parking_77,1,0.005682,0.549327,8
Parking_76,1,0.005682,0.549327,8
Parking_74,1,0.005682,0.549327,8
Parking_75,1,0.005682,0.549327,8
Parking_72,1,0.005682,0.549327,8
Parking6,1,0.005682,0.524625,5
Parking5,1,0.005682,0.524625,5
Parking3,1,0.005682,0.524625,5
Parking4,1,0.005682,0.524625,5
09_Storage_public,1,0.005682,0.519068,6
08_Bathroom_Gym,1,0.005682,0.519068,6
object_1,1,0.005682,0.516878,1
Storage_room_002,1,0.005682,0.512552,7
Parking_99,1,0.005682,0.475728,15
Parking_96,1,0.005682,0.475728,15
Parking_95,1,0.005682,0.475728,15
Parking_94,1,0.005682,0.475728,15
Parking_98,1,0.005682,0.475728,15
Parking_97,1,0.005682,0.475728,15
011_BAthroom_community_hall_01,1,0.005682,0.027909,24
011_BAthroom_community_hall_02,1,0.005682,0.027909,24
Room_041,0,0.0,0.0,0
