start_room,nearest_exit_proxy,path_length_model_units,hops,path
Parking_31,Window_033,59.295304,5,Parking_31 -> Door_145 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_42,Window_033,59.225911,5,Parking_42 -> Door_135 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_18,Door_013,57.422797,5,Parking_18 -> Door_156 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
recycling_room_02,Window_033,57.049752,5,recycling_room_02 -> Door_060 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_28,Door_013,57.047016,5,Parking_28 -> Door_146 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
Parking_41,Door_013,57.046998,5,Parking_41 -> Door_056 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
Parking_32,Window_033,56.504114,5,Parking_32 -> Door_144 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_43,Window_033,56.418455,5,Parking_43 -> Door_134 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_40,Window_033,55.738439,5,Parking_40 -> Door_136 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_19,Door_013,54.636743,5,Parking_19 -> Door_155 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
Parking_33,Window_033,53.741533,5,Parking_33 -> Door_143 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_44,Window_033,53.62994,5,Parking_44 -> Door_133 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_27,Door_013,53.054957,5,Parking_27 -> Door_147 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
Parking_39,Window_033,52.988393,5,Parking_39 -> Door_137 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_50,Window_033,52.633456,5,Parking_50 -> Door_127 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_20,Door_013,51.880896,5,Parking_20 -> Door_154 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
Parking_34,Window_033,51.043987,5,Parking_34 -> Door_142 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_45,Window_033,50.885294,5,Parking_45 -> Door_132 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Storage_room_002,Door_025,50.871293,15,Storage_room_002 -> Door_022 -> Parking1 -> Window_006 -> Parking2 -> Window_005 -> Parking3 -> Window_004 -> Parking4 -> Window_003 -> Parking5 -> Window_002 -> Parking6 -> Window_001 -> 05_FAmily_Room -> Door_025
Parking_26,Door_013,50.329727,5,Parking_26 -> Door_148 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
Parking_38,Window_033,50.323609,5,Parking_38 -> Door_138 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_49,Window_033,50.144638,5,Parking_49 -> Door_128 -> Circulation_013 -> Door_011 -> Circulation_011 -> Window_033
Parking_21,Door_013,49.191033,5,Parking_21 -> Door_153 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_013
