start_room,street_exit,street_exit_label,via_nodes,path_length_model_units,hops,path
05_FAmily_Room,Door_048,Door_048 via Door_061,Door_061,77.33861,11,05_FAmily_Room -> Window_001 -> Parking6 -> Door_162 -> Parking_12 -> Door_163 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
09_Storage_public,Door_049,Principal pedestrian exit,,68.755109,7,09_Storage_public -> Door_034 -> 010_Circulaction -> Door_035 -> 08_Gym -> Door_038 -> Circulation_001 -> Door_049
recycling_room_03,Door_048,Door_048 via Door_061,Door_061,68.576268,7,recycling_room_03 -> Door_059 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
08_Bathroom_Gym,Door_049,Principal pedestrian exit,,67.297971,7,08_Bathroom_Gym -> Door_033 -> 010_Circulaction -> Door_035 -> 08_Gym -> Door_038 -> Circulation_001 -> Door_049
Parking5,Door_048,Door_048 via Door_061,Door_061,66.631674,13,Parking5 -> Window_003 -> Parking4 -> Window_004 -> Parking3 -> Window_005 -> Parking2 -> Door_170 -> Parking8 -> Door_171 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
object_1,Door_049,Principal pedestrian exit,,66.466277,7,object_1 -> Door_017 -> 02_Retail_space -> Door_047 -> 01_Lobby -> Door_046 -> Circulation_001 -> Door_049
Parking_51,Door_048,Door_048 via Door_061,Door_061,66.075591,7,Parking_51 -> Door_126 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
010_Circulaction,Door_049,Principal pedestrian exit,,65.258929,5,010_Circulaction -> Door_035 -> 08_Gym -> Door_038 -> Circulation_001 -> Door_049
Parking6,Door_048,Door_048 via Door_061,Door_061,65.183477,9,Parking6 -> Door_162 -> Parking_12 -> Door_163 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking10,Door_048,Door_048 via Door_061,Door_061,64.966179,7,Parking10 -> Door_167 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_17,Door_048,Door_048 via Door_061,Door_061,64.779244,7,Parking_17 -> Door_157 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_58,Door_048,Door_048 via Door_061,Door_061,64.593523,7,Parking_58 -> Door_119 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_52,Door_048,Door_048 via Door_061,Door_061,63.260162,7,Parking_52 -> Door_125 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
02_Retail_space,Door_049,Principal pedestrian exit,,62.681947,5,02_Retail_space -> Door_047 -> 01_Lobby -> Door_046 -> Circulation_001 -> Door_049
Parking_11,Door_048,Door_048 via Door_061,Door_061,62.224423,7,Parking_11 -> Door_165 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_57,Door_048,Door_048 via Door_061,Door_061,61.787748,7,Parking_57 -> Door_120 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_16,Door_048,Door_048 via Door_061,Door_061,61.787197,7,Parking_16 -> Door_158 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_18,Door_049,Principal pedestrian exit,,61.336232,5,Parking_18 -> Door_156 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_049
Parking_28,Door_049,Principal pedestrian exit,,60.960451,5,Parking_28 -> Door_146 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_049
Parking_41,Door_049,Principal pedestrian exit,,60.960433,5,Parking_41 -> Door_056 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_049
Parking4,Door_048,Door_048 via Door_061,Door_061,60.6446,11,Parking4 -> Window_004 -> Parking3 -> Window_005 -> Parking2 -> Door_170 -> Parking8 -> Door_171 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_53,Door_048,Door_048 via Door_061,Door_061,60.469639,7,Parking_53 -> Door_124 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking9,Door_048,Door_048 via Door_061,Door_061,60.263312,11,Parking9 -> Door_168 -> Parking3 -> Window_005 -> Parking2 -> Door_170 -> Parking8 -> Door_171 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_31,Door_048,Door_048 via Door_061,Door_061,59.808134,7,Parking_31 -> Door_145 -> Circulation_013 -> Door_011 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_42,Door_048,Door_048 via Door_061,Door_061,59.738741,7,Parking_42 -> Door_135 -> Circulation_013 -> Door_011 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_12,Door_048,Door_048 via Door_061,Door_061,59.563455,7,Parking_12 -> Door_163 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_15,Door_048,Door_048 via Door_061,Door_061,59.323483,7,Parking_15 -> Door_159 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_70,Door_014,Vehicular / emergency pedestrian exit,,59.058016,5,Parking_70 -> Door_115 -> Circulation_007 -> Door_004 -> Circulation_004 -> Door_014
Parking_56,Door_048,Door_048 via Door_061,Door_061,59.031484,7,Parking_56 -> Door_121 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_19,Door_049,Principal pedestrian exit,,58.550178,5,Parking_19 -> Door_155 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_049
Parking_54,Door_048,Door_048 via Door_061,Door_061,57.790402,7,Parking_54 -> Door_123 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_99,Door_014,Vehicular / emergency pedestrian exit,,57.723566,7,Parking_99 -> Door_078 -> Parking_93 -> Door_084 -> Circulation_005 -> Door_001 -> Circulation_004 -> Door_014
recycling_room_02,Door_048,Door_048 via Door_061,Door_061,57.562582,7,recycling_room_02 -> Door_060 -> Circulation_013 -> Door_011 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_13,Door_048,Door_048 via Door_061,Door_061,57.363776,7,Parking_13 -> Door_161 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_14,Door_048,Door_048 via Door_061,Door_061,57.272771,7,Parking_14 -> Door_160 -> Circulation_010 -> Door_009 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_32,Door_048,Door_048 via Door_061,Door_061,57.016944,7,Parking_32 -> Door_144 -> Circulation_013 -> Door_011 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_27,Door_049,Principal pedestrian exit,,56.968392,5,Parking_27 -> Door_147 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_049
Parking_43,Door_048,Door_048 via Door_061,Door_061,56.931285,7,Parking_43 -> Door_134 -> Circulation_013 -> Door_011 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_71,Door_014,Vehicular / emergency pedestrian exit,,56.821048,5,Parking_71 -> Door_113 -> Circulation_007 -> Door_004 -> Circulation_004 -> Door_014
Parking_55,Door_048,Door_048 via Door_061,Door_061,56.675657,7,Parking_55 -> Door_122 -> Circulation_012 -> Door_012 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
08_Gym,Door_049,Principal pedestrian exit,,56.298359,3,08_Gym -> Door_038 -> Circulation_001 -> Door_049
Parking_40,Door_048,Door_048 via Door_061,Door_061,56.251269,7,Parking_40 -> Door_136 -> Circulation_013 -> Door_011 -> Circulation_011 -> Door_061 -> recycling_room_01 -> Door_061
Parking_20,Door_049,Principal pedestrian exit,,55.794331,5,Parking_20 -> Door_154 -> Circulation_008 -> Door_008 -> Circulation_001 -> Door_049
Parking_77,Door_014,Vehicular / emergency pedestrian exit,,55.784912,5,Parking_77 -> Door_108 -> Circulation_007 -> Door_004 -> Circulation_004 -> Door_014
Parking_98,Door_014,Vehicular / emergency pedestrian exit,,55.000421,7,Parking_98 -> Door_079 -> Parking_92 -> Door_085 -> Circulation_005 -> Door_001 -> Circulation_004 -> Door_014
