Door,Component Cells,Connects,Floor Area,Width,Depth,Height,Center X,Center Y,Center Z
Door 1,2,"Room 5, Room 2",37.21,6.1,6.1,8.0,28.0,53.0,4.0
Door 2,2,"Room 5, Room 3",37.21,6.1,6.1,8.0,56.0,58.0,4.0
Door 3,2,"Room 5, Room 6",37.21,6.1,6.1,8.0,56.0,84.5,4.0
Door 4,4,"Room 5, Room 6, Room 9, Room 8",37.21,6.1,6.1,8.0,53.45,106.0,4.0
Door 5,2,"Room 5, Room 9",37.21,6.1,6.1,8.0,25.45,106.0,4.0
Door 6,2,Room 2,37.21,6.1,6.1,8.0,28.0,-0.0,4.0
Door 7,2,Room 2,37.21,6.1,6.1,8.0,56.0,3.29,4.0
Door 8,2,"Room 2, Room 1",37.21,6.1,6.1,8.0,56.0,15.79,4.0
Door 9,2,"Room 2, Room 3",37.21,6.1,6.1,8.0,56.0,39.0,4.0
Door 10,2,"Room 3, Room 6",37.21,6.1,6.1,8.0,71.0,63.0,4.0
Door 11,2,"Room 3, Room 1",37.21,6.1,6.1,8.0,71.0,25.0,4.0
Door 12,4,"Room 3, Room 1, Room 4",37.21,6.1,6.1,8.0,86.0,27.5,4.0
Door 13,2,"Room 3, Room 4",37.21,6.1,6.1,8.0,86.0,46.5,4.0
Door 14,4,"Room 3, Room 6, Room 4",37.21,6.1,6.1,8.0,87.0,63.0,4.0
Door 15,2,"Room 6, Room 8",37.21,6.1,6.1,8.0,72.0,106.0,4.0
Door 16,2,"Room 6, Room 7",37.21,6.1,6.1,8.0,88.0,88.5,4.0
Door 17,2,"Room 9, Room 8",37.21,6.1,6.1,8.0,50.9,121.5,4.0
Door 18,2,"Room 9, Room 10",37.21,6.1,6.1,8.0,50.9,149.09,4.0
Door 19,2,Room 1,37.21,6.1,6.1,8.0,99.0,15.79,4.0
Door 20,2,"Room 8, Room 10",37.21,6.1,6.1,8.0,68.4,137.0,4.0
Door 21,2,"Room 8, Room 7",37.21,6.1,6.1,8.0,100.66,106.0,4.0
