room,cell_id,area,width_x,depth_y,height_z,center_x,center_y,center_z,xmin,xmax,ymin,ymax,zmin,zmax
1,13,732.889978,43.0,18.42,12.0,77.5,15.79,6.0,56.0,99.0,6.58,25.0,0.0,12.0
2,1,2874.975099,56.0,53.000001,12.0,28.0,26.4999995,6.0,0.0,56.0,-1e-06,53.0,0.0,12.0
3,3,1023.794967,30.0,38.0,12.0,71.0,44.0,6.0,56.0,86.0,25.0,63.0,0.0,12.0
4,21,990.364984,31.0,33.0,12.0,101.5,46.5,6.0,86.0,117.0,30.0,63.0,0.0,12.0
5,0,2876.499983,56.0,53.0,12.0,28.0,79.5,6.0,0.0,56.0,53.0,106.0,0.0,12.0
6,5,1287.702355,32.0,43.0,12.0,72.0,84.5,6.0,56.0,88.0,63.0,106.0,0.0,12.0
7,30,942.789951,28.0,35.0,12.0,102.0,88.5,6.0,88.0,116.0,71.0,106.0,0.0,12.0
8,24,1843.519851,62.41999799999999,31.0,12.0,82.110001,121.5,6.0,50.900002,113.32,106.0,137.0,0.0,12.0
9,8,2751.321649,50.900002,55.179992999999996,12.0,25.450001,133.58999649999998,6.0,0.0,50.900002,106.0,161.179993,0.0,12.0
10,36,942.789973,35.0,28.0,12.0,68.400002,151.0,6.0,50.900002,85.900002,137.0,165.0,0.0,12.0
